order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
51001,4174,27,Chandigarh,Afternoon,Weekend,Desserts,Snacks,Mid-range,312,Yes,87,6,5,No,Lazy,Low,Partner,Yes
51002,4470,48,Mumbai,Afternoon,Weekend,South Indian,Breakfast,Mid-range,1109,No,5,4,4,No,Lazy,Medium,Alone,Yes
51003,4230,18,Chandigarh,Evening,Weekend,North Indian,Lunch,Premium,873,Yes,68,12,3,No,Happy,High,Alone,No
51004,4358,20,Mumbai,Morning,Weekday,Biryani,Snacks,Premium,1355,Yes,6,13,2,No,Celebrating,High,Family,Yes
51005,4818,41,Delhi,Evening,Weekday,North Indian,Lunch,Budget,194,Yes,33,5,3,No,Celebrating,Low,Partner,Yes
51006,4027,42,Pune,Afternoon,Weekday,Chinese,Lunch,Mid-range,1176,No,72,12,5,No,Stressed,Low,Friends,Yes
51007,4755,50,Chandigarh,Evening,Weekend,South Indian,Dinner,Premium,1066,Yes,5,6,1,No,Lazy,Low,Family,No
51008,4725,25,Pune,Night,Weekend,South Indian,Lunch,Premium,927,Yes,74,1,4,No,Happy,High,Friends,No
51009,4526,33,Chandigarh,Afternoon,Weekend,Desserts,Snacks,Premium,682,No,67,7,3,No,Happy,Medium,Family,Yes
51010,4910,30,Hyderabad,Afternoon,Weekend,Biryani,Snacks,Budget,616,No,25,9,2,No,Happy,Medium,Family,No
51011,4342,22,Mumbai,Morning,Weekend,Desserts,Snacks,Mid-range,1302,No,8,1,1,No,Lazy,Medium,Family,Yes
51012,4606,20,Pune,Evening,Weekday,North Indian,Breakfast,Budget,156,Yes,84,10,5,No,Happy,High,Alone,No
51013,4595,42,Hyderabad,Evening,Weekday,Fast Food,Breakfast,Premium,1290,Yes,74,1,2,No,Celebrating,Medium,Alone,Yes
51014,4478,18,Pune,Evening,Weekend,Fast Food,Snacks,Mid-range,815,Yes,36,5,5,No,Happy,Low,Friends,No
51015,4876,43,Pune,Night,Weekday,Chinese,Dinner,Premium,1143,Yes,49,5,2,No,Stressed,Medium,Friends,No
51016,4622,18,Bangalore,Morning,Weekday,North Indian,Dinner,Budget,1097,Yes,35,14,5,No,Celebrating,Low,Partner,No
51017,4836,26,Bangalore,Afternoon,Weekday,Chinese,Dinner,Budget,1036,No,76,12,5,No,Stressed,Medium,Alone,No
51018,4402,25,Chandigarh,Evening,Weekday,Desserts,Lunch,Mid-range,475,No,62,8,4,No,Happy,High,Family,No
51019,4891,40,Bangalore,Morning,Weekday,North Indian,Lunch,Mid-range,1059,No,13,3,1,No,Stressed,High,Friends,Yes
51020,4187,23,Mumbai,Night,Weekend,North Indian,Snacks,Budget,698,Yes,16,11,4,No,Happy,High,Partner,No
51021,4042,21,Delhi,Morning,Weekday,Fast Food,Dinner,Premium,388,No,19,8,1,No,Happy,High,Friends,Yes
51022,4716,50,Chandigarh,Evening,Weekday,Biryani,Breakfast,Budget,609,Yes,35,14,1,No,Celebrating,Medium,Friends,No
51023,4288,22,Hyderabad,Morning,Weekend,Chinese,Breakfast,Mid-range,1421,No,62,10,3,No,Stressed,Medium,Friends,Yes
51024,4948,38,Chandigarh,Evening,Weekday,Fast Food,Lunch,Premium,342,No,43,8,1,No,Stressed,Medium,Partner,Yes
51025,5000,32,Delhi,Night,Weekend,Biryani,Snacks,Budget,916,Yes,67,12,5,No,Stressed,Medium,Friends,Yes
51026,4799,24,Delhi,Night,Weekday,Biryani,Dinner,Budget,570,Yes,67,7,2,No,Stressed,Medium,Alone,Yes
51027,4578,18,Hyderabad,Evening,Weekday,Chinese,Lunch,Budget,118,Yes,24,8,1,No,Lazy,Low,Family,Yes
51028,4823,19,Bangalore,Night,Weekday,Fast Food,Snacks,Budget,355,Yes,98,2,4,No,Celebrating,High,Family,Yes
51029,4571,29,Chandigarh,Evening,Weekend,North Indian,Lunch,Premium,1300,Yes,63,9,2,No,Lazy,Medium,Alone,Yes
51030,4718,22,Hyderabad,Afternoon,Weekday,South Indian,Snacks,Premium,961,No,5,7,1,No,Celebrating,Low,Alone,Yes
51031,4518,48,Pune,Morning,Weekday,Fast Food,Lunch,Mid-range,276,No,95,2,1,No,Stressed,Low,Family,Yes
51032,4492,43,Chandigarh,Afternoon,Weekday,North Indian,Breakfast,Budget,394,No,65,14,5,No,Celebrating,Low,Family,Yes
51033,4784,27,Delhi,Evening,Weekend,Chinese,Lunch,Budget,454,No,13,13,3,No,Celebrating,Medium,Alone,Yes
51034,4842,30,Pune,Evening,Weekend,Biryani,Dinner,Budget,709,No,7,3,4,No,Celebrating,Low,Partner,No
51035,4445,48,Hyderabad,Night,Weekday,Chinese,Lunch,Budget,1089,No,95,5,1,No,Celebrating,High,Friends,No
51036,4473,34,Mumbai,Evening,Weekday,South Indian,Snacks,Budget,1371,Yes,54,12,4,No,Celebrating,Medium,Family,Yes
